date,rate,inflation,gdp
2023-01-31,4.33,300.0,26000
2023-02-28,4.57,301.0,26120
2023-03-31,4.83,302.5,26240
2023-04-30,5.07,303.0,26310
2023-05-31,5.08,304.1,26440
2023-06-30,5.12,305.2,26520
2023-07-31,5.33,306.0,26610
2023-08-31,5.33,306.9,26700
2023-09-30,5.33,307.8,26780
2023-10-31,5.33,308.2,26830
2023-11-30,5.33,308.7,26910
2023-12-31,5.33,309.0,27000
2024-01-31,5.33,309.4,27110
2024-02-29,5.33,310.0,27240
2024-03-31,5.33,310.6,27350
2024-04-30,5.33,311.1,27410
2024-05-31,5.33,311.8,27520
2024-06-30,5.33,312.2,27640
